오름명,오름여부,지번주소,위도,경도,비고,표고,카카오맵_url,관리시설,표고비고출처,좌표출처,grid_nx,grid_ny
망동산,오름,제주특별자치도 제주시 우도면 연평리 산 6,33.49802084,126.962404,30.0,87.5,http://place.map.kakao.com/7870134,,제주道CSV/단일,API/단일,61,38
쇠머리오름,오름,제주특별자치도 제주시 우도면 연평리 산 17,33.49209675,126.9635913,128.0,132.5,http://place.map.kakao.com/8389783,,제주道CSV/단일,API/단일,61,38
거문오름,오름,제주특별자치도 제주시 조천읍 선흘리 산 102-1,33.45483859,126.718256,112.0,456.6,http://place.map.kakao.com/18489468,,제주道CSV/단일,API/단일,56,37
따라비오름,오름,제주특별자치도 서귀포시 표선면 가시리 산 63,33.38870699,126.7528584,107.0,342.0,http://place.map.kakao.com/25036598,,제주道CSV/단일,API/단일,57,36
용눈이오름,오름,제주특별자치도 제주시 구좌읍 종달리 산 28,33.45988024,126.832683,88.0,247.8,http://place.map.kakao.com/10626439,,제주道CSV/단일,API/단일,58,37
당오름,오름,제주 제주시 구좌읍 송당리 산 199-1,33.46659989,126.7786029,69.0,274.1,http://place.map.kakao.com/7814539,,제주道CSV/주소,API/주소,57,37
다랑쉬,오름,제주특별자치도 제주시 구좌읍 세화리 산 6,33.47768586,126.8215359,227.0,382.4,http://place.map.kakao.com/25200772,,제주道CSV/단일,API/단일,58,38
아끈다랑쉬,오름,제주특별자치도 제주시 구좌읍 세화리 2593-2,33.4741391,126.830647,58.0,198.0,http://place.map.kakao.com/25303334,,제주道CSV/단일,API/단일,58,37
아부오름,오름,제주특별자치도 제주시 구좌읍 송당리 2263,33.44858418,126.777215,51.0,301.4,http://place.map.kakao.com/10599658,,제주道CSV/단일,API/단일,57,37
높은오름,오름,제주 제주시 구좌읍 송당리 산 213-1,33.45641147,126.793069,175.0,405.3,http://place.map.kakao.com/25199090,,제주道CSV/단일,API/단일,58,37
좌보미알오름,오름,제주특별자치도 서귀포시 표선면 성읍리 산 6,33.4310082,126.8073793,23.0,227.5,http://place.map.kakao.com/17788991,,제주道CSV/단일,API/단일,58,37
백약이오름,오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.43680941,126.7897582,132.0,356.9,http://place.map.kakao.com/25248461,,제주道CSV/단일,API/단일,57,37
문석이오름,오름,제주 제주시 구좌읍 송당리 산 234,33.44642856,126.7945242,67.0,291.8,http://place.map.kakao.com/25237382,,제주道CSV/단일,API/단일,58,37
거미오름,오름,제주특별자치도 제주시 구좌읍 종달리 산 70,33.44894445,126.8036721,115.0,340.0,http://place.map.kakao.com/25214418,,제주道CSV/단일,미확보/미등재,58,37
두산봉,오름,제주 서귀포시 성산읍 시흥리 2661,33.47711944,126.8873917,101.0,126.5,http://place.map.kakao.com/10289213,,제주道CSV/단일,API/단일,59,38
식산봉,오름,제주특별자치도 서귀포시 성산읍 오조리 313,33.46568079,126.9199391,55.0,60.2,http://place.map.kakao.com/25297842,,제주道CSV/단일,API/단일,60,37
성산일출봉,오름,제주특별자치도 서귀포시 성산읍 성산리 78,33.458056,126.9425,174.0,179.0,https://place.map.kakao.com/25285071,,제주道CSV/단일,미확보/미등재,60,37
성불오름,오름,제주특별자치도 제주시 구좌읍 송당리 산 266,33.422125,126.7499887,97.0,361.7,http://place.map.kakao.com/7951103,,제주道CSV/단일,API/단일,57,36
붉은오름,오름,제주특별자치도 서귀포시 표선면 가시리 산 158,33.39985819,126.6795385,129.0,569.0,http://place.map.kakao.com/10455841,,제주道CSV/주소,API/주소,55,36
물영아리,오름,제주특별자치도 서귀포시 남원읍 수망리 산 188,33.36839465,126.6920637,128.0,508.0,http://place.map.kakao.com/7873185,,제주道CSV/단일,API/단일,56,35
삼의악오름,오름,제주특별자치도 제주시 아라일동 산 24-2,33.4400202,126.5619636,139.0,574.3,https://place.map.kakao.com/7953866,,제주道CSV/주소,API/단일,53,37
민오름,오름,제주 제주시 봉개동 산 64 일대,33.43725543,126.6370805,136.0,651.0,http://place.map.kakao.com/7879348,,제주道CSV/별칭,API/주소,55,37
한라산 절물오름(족은대나),오름,제주특별자치도 제주시 명림로 584 일대 (봉개동),33.43388059,126.6267079,120.0,656.7,http://place.map.kakao.com/241119078,,제주道CSV/단일,API/단일,54,37
세미오름,오름,제주 제주시 조천읍 대흘리 산 27-8,33.47404749,126.6694218,126.0,421.0,http://place.map.kakao.com/10566814,,제주道CSV/주소,API/단일,55,37
산굼부리,오름,제주특별자치도 제주시 조천읍 교래리 166-2,33.43257409,126.693832,32.0,437.4,http://place.map.kakao.com/21348535,,제주道CSV/단일,API/단일,56,37
서우봉,오름,제주특별자치도 제주시 조천읍 함덕리 169-3,33.54584155,126.6775859,106.0,111.3,http://place.map.kakao.com/25280784,,제주道CSV/단일,API/단일,55,39
원당봉,오름,제주 제주시 조천읍 신촌리 산 1,33.5259391,126.6005763,120.0,170.7,https://place.map.kakao.com/8033485,,제주道CSV/단일,미확보/미등재,54,39
알오름,오름,제주 제주시 화북일동 4504,33.51912804,126.5495061,21.0,96.0,http://place.map.kakao.com/8402972,,미확보/모호(3),API/주소,53,38
